x,sin(x)
-31.41592653589793,0.0
-31.328660073298213,0.08715574275530621
-31.241393610698495,0.17364817864535811
-31.154127148098777,0.2588190618109883
-31.06686068549906,0.34202014311387685
-30.97959422289934,0.4226182601636698
-30.892327760299622,0.499999991869032
-30.805061297699904,0.5735764038218522
-30.717794835100186,0.6427875016052209
-30.630528372500468,0.7071064695751887
-30.54326190990075,0.7660436398501671
-30.45599544730103,0.8191520601716639
-30.368728984701313,0.8660254450997912
-30.281462522101595,0.9063078865695161
-30.194196059501877,0.939692845395373
-30.10692959690216,0.9659263053731482
-30.01966313430244,0.9848087259256645
-29.932396671702723,0.9961965904241179
-29.845130209103004,0.999999943741051
-29.757863746503286,0.9961945846253971
-29.670597283903568,0.984807532287684
-29.58333082130385,0.9659254106933182
-29.496064358704132,0.9396918610825313
-29.408797896104414,0.9063064352460755
-29.321531433504695,0.8660230570631678
-29.234264970904977,0.8191521350189148
-29.14699850830526,0.7660446062878018
-29.05973204570554,0.7071070681697339
-28.972465583105823,0.64278810412248
-28.885199120506105,0.5735772720035405
-28.797932657906387,0.5000013872905594
-28.71066619530667,0.4226182004697369
-28.62339973270695,0.3420200383582367
-28.536133270107232,0.2588188682454306
-28.448866807507514,0.17364788431482828
-28.361600344907796,0.08715575589143752
-28.274333882308078,-6.039007651594292E-14
-28.18706741970836,-0.08715575589155798
-28.09980095710864,-0.17364788431494788
-28.012534494508923,-0.2588188682455472
-27.925268031909205,-0.3420200383583506
-27.838001569309487,-0.42261820046984583
-27.75073510670977,-0.500001387290664
-27.66346864411005,-0.5735772720036394
-27.576202181510332,-0.6427881041225727
-27.488935718910614,-0.7071070681698196
-27.401669256310896,-0.7660446062878794
-27.314402793711178,-0.8191521350189838
-27.22713633111146,-0.8660230570632285
-27.13986986851174,-0.9063064352461266
-27.052603405912024,-0.9396918610825726
-26.965336943312305,-0.9659254106933495
-26.878070480712587,-0.9848075322877049
-26.79080401811287,-0.9961945846254076
-26.70353755551315,-0.999999943741051
-26.616271092913433,-0.9961965904241074
-26.529004630313715,-0.9848087259256437
-26.441738167713996,-0.9659263053731169
-26.35447170511428,-0.9396928453953318
-26.26720524251456,-0.9063078865694649
-26.179938779914842,-0.8660254450997309
-26.092672317315124,-0.8191520601715945
-26.005405854715406,-0.7660436398500894
-25.918139392115688,-0.7071064695751033
-25.83087292951597,-0.6427875016051283
-25.74360646691625,-0.5735764038217533
-25.656340004316533,-0.4999999918689274
-25.569073541716815,-0.4226182601635603
-25.481807079117097,-0.34202014311376333
-25.39454061651738,-0.25881906181087166
-25.30727415391766,-0.17364817864523915
-25.220007691317942,-0.08715574275518588
-25.132741228718224,1.2079226507921703E-13
-25.045474766118506,0.08715574275542655
-24.958208303518788,0.1736481786454771
-24.87094184091907,0.258819061811105
-24.78367537831935,0.34202014311399037
-24.696408915719633,0.42261826016377924
-24.609142453119915,0.4999999918691366
-24.521875990520197,0.5735764038219512
-24.43460952792048,0.6427875016053135
-24.34734306532076,0.7071064695752741
-24.260076602721043,0.7660436398502448
-24.172810140121324,0.819152060171733
-24.085543677521606,0.8660254450998518
-23.998277214921888,0.9063078865695672
-23.91101075232217,0.9396928453954144
